Epoch [1/60], Loss: 1.3806
Validation Loss: 1.3365, Validation Accuracy: 35.8679%
Epoch [2/60], Loss: 1.3517
Validation Loss: 1.3264, Validation Accuracy: 37.4808%
Epoch [3/60], Loss: 1.3386
Validation Loss: 1.3172, Validation Accuracy: 39.4777%
Epoch [4/60], Loss: 1.3303
Validation Loss: 1.3148, Validation Accuracy: 39.7081%
Epoch [5/60], Loss: 1.3181
Validation Loss: 1.3079, Validation Accuracy: 39.3241%
Epoch [6/60], Loss: 1.3089
Validation Loss: 1.3014, Validation Accuracy: 39.4777%
Epoch [7/60], Loss: 1.2977
Validation Loss: 1.2988, Validation Accuracy: 39.5545%
Epoch [8/60], Loss: 1.2940
Validation Loss: 1.2953, Validation Accuracy: 38.7097%
Epoch [9/60], Loss: 1.2887
Validation Loss: 1.2954, Validation Accuracy: 40.0922%
Epoch [10/60], Loss: 1.2812
Validation Loss: 1.2934, Validation Accuracy: 39.7081%
Epoch [11/60], Loss: 1.2799
Validation Loss: 1.2891, Validation Accuracy: 39.8618%
Epoch [12/60], Loss: 1.2711
Validation Loss: 1.2883, Validation Accuracy: 40.2458%
Epoch [13/60], Loss: 1.2699
Validation Loss: 1.2856, Validation Accuracy: 40.3226%
Epoch [14/60], Loss: 1.2624
Validation Loss: 1.2840, Validation Accuracy: 39.7081%
Epoch [15/60], Loss: 1.2583
Validation Loss: 1.2851, Validation Accuracy: 40.0154%
Epoch [16/60], Loss: 1.2542
Validation Loss: 1.2844, Validation Accuracy: 39.9386%
Epoch [17/60], Loss: 1.2512
Validation Loss: 1.2852, Validation Accuracy: 39.7081%
Epoch [18/60], Loss: 1.2474
Validation Loss: 1.2833, Validation Accuracy: 39.8618%
Epoch [19/60], Loss: 1.2424
Validation Loss: 1.2819, Validation Accuracy: 40.0154%
Epoch [20/60], Loss: 1.2410
Validation Loss: 1.2828, Validation Accuracy: 40.1690%
Epoch [21/60], Loss: 1.2389
Validation Loss: 1.2841, Validation Accuracy: 40.4762%
Epoch [22/60], Loss: 1.2368
Validation Loss: 1.2867, Validation Accuracy: 39.3241%
Epoch [23/60], Loss: 1.2333
Validation Loss: 1.2847, Validation Accuracy: 39.6313%
Epoch [24/60], Loss: 1.2345
Validation Loss: 1.2832, Validation Accuracy: 40.3226%
Epoch [25/60], Loss: 1.2297
Validation Loss: 1.2841, Validation Accuracy: 40.1690%
Epoch [26/60], Loss: 1.2243
Validation Loss: 1.2879, Validation Accuracy: 39.4777%
Epoch [27/60], Loss: 1.2246
Validation Loss: 1.2830, Validation Accuracy: 40.3226%
Epoch [28/60], Loss: 1.2214
Validation Loss: 1.2866, Validation Accuracy: 39.8618%
Epoch [29/60], Loss: 1.2159
Validation Loss: 1.2907, Validation Accuracy: 39.9386%
T.F: 22557/37758 Accuracy: 0.5974098204354045
J.P: 23510/37758 Accuracy: 0.6226495047407172
