type,posts
INFJ,"['INFP', 'INFP', 'INFJ', 'ENFP', 'ISTP', 'INTP', 'INTJ', 'ENFP', 'INFJ', 'INFJ', 'INTJ', 'ENFP', 'ENFP', 'ISTP', 'INTJ', 'INTP', 'INTP', 'INTP', 'ISTP', 'INTP', 'INFP', 'INFJ', 'INFP', 'ENTP', 'ISTP', 'ISTP', 'INFP', 'INFP']"
ENTP,"['INTJ', 'INTP', 'ENFP', 'INTJ', 'INTP', 'INTP', 'ENFP', 'INTP', 'ENFP', 'INTJ', 'ISTP', 'ISTP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ISTP', 'ENFP', 'ENFP', 'INTJ', 'INTP', 'INTJ', 'INFP', 'ISTJ', 'INFJ', 'ENFP', 'ENTJ', 'ENTP', 'INTJ', 'ENFP', 'ISFJ', 'ISTP', 'ENFP', 'ENFP', 'INTJ', 'INFP', 'INFP', 'ISFP', 'INTP', 'ISTJ', 'ISFP', 'ENFP', 'INTP']"
INTP,"['INTJ', 'INFP', 'INFP', 'INTP', 'INTP', 'INTJ', 'INTJ', 'INFP', 'INFP', 'INFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'INTP', 'INFP', 'INFP', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INTJ', 'INTP', 'INTP', 'INTP', 'INTP', 'INTP', 'ENFP', 'INFJ', 'INFP', 'INTJ', 'ENFP', 'INTP', 'INTP', 'INTP', 'ENTP', 'INTJ', 'INTP', 'INTP']"
INTJ,"['INTJ', 'ISFJ', 'INFP', 'INTP', 'INTP', 'INTP', 'INFP', 'ENFP', 'INTP', 'ENFP', 'INTP', 'INTJ', 'ISTP', 'INFJ', 'INFJ', 'ISTP', 'ENFP', 'INTP', 'ISTP', 'ENTP', 'ISTP', 'ISTP', 'ENTJ', 'INTP', 'ISTP', 'INTP', 'ISTP', 'INTP', 'ENFP', 'INFP', 'INTP', 'ISTP', 'INTP', 'INTP', 'ENTP', 'INTP', 'INTP', 'ENFP', 'ISTJ', 'INTP', 'ENTP', 'INFP', 'INTP', 'INFP', 'INTJ', 'INFJ', 'INTJ', 'INTJ']"
ENTJ,"['ENTJ', 'INTP', 'ENFP', 'INTP', 'ENTJ', 'INTJ', 'INTJ', 'INTJ', 'INTP', 'ENTP', 'ENTP', 'INTJ', 'ENFP', 'INFJ', 'ISTP', 'INTJ', 'INTJ', 'ISTP', 'ENTP', 'ISFP', 'ENTJ', 'INFP', 'INTP', 'INTP', 'INFP', 'INFJ', 'INTJ', 'ENTP', 'INFJ', 'INTJ', 'INTJ', 'INFJ', 'ISTP', 'ENFP', 'INTJ', 'INFP', 'INFJ', 'INTJ', 'ENTP', 'INTP', 'ENFP', 'INFP', 'INFJ', 'INTJ']"
INTJ,"['INTP', 'ENFP', 'INTP', 'ENFP', 'INTJ', 'INTP', 'INTJ', 'INFP', 'INFP', 'INTJ', 'INFJ', 'INFP', 'INTJ', 'INFP', 'ENFP', 'INTP', 'ENFJ', 'INTP', 'INFP', 'INTJ', 'INTJ', 'ENFP', 'INTJ', 'INFJ', 'INTP', 'INFP', 'INTP', 'INFJ', 'ENFP', 'ENFP', 'INFP', 'INTP', 'INTP', 'ENFP', 'INFJ', 'INTP', 'INTP', 'INTP', 'INTP', 'INTJ', 'INTP', 'ENTP', 'ISTP', 'INTJ', 'INTJ', 'ENFP', 'INTJ']"
INFJ,"['ISFP', 'INFP', 'ENFP', 'INFJ', 'INTJ', 'INFP', 'INFP', 'ENFP', 'INTJ', 'ENFP', 'INFP', 'ENFP', 'ISTJ', 'ENFP', 'ENFP', 'INTJ', 'ENFP', 'INFP', 'ENFP', 'INFP', 'INTP', 'INFP', 'INFJ', 'ENFP', 'INFJ', 'INTP', 'INFJ', 'INTP', 'INTP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'INFJ', 'INFJ', 'ENFP', 'ENFP', 'ENTJ', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFJ', 'ENTP', 'INFJ', 'INFP', 'INFP', 'ENTP']"
INTJ,"['INTJ', 'ISFP', 'INFP', 'INFP', 'ENFP', 'INTJ', 'INTP', 'INFJ', 'INFP', 'INTP', 'INFP', 'INTP', 'INTP', 'INFP', 'INTP', 'ENTP', 'INFP', 'INFP', 'ENTP', 'INTP', 'INTP', 'ENTJ', 'INTP', 'INTJ', 'INTP', 'INTP', 'INFJ', 'INTJ', 'INFP', 'INTP', 'INTJ', 'INFP', 'INTJ', 'INFP', 'INTP', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INTP', 'INFP', 'INFP', 'ENFP', 'ENFP', 'ENTP', 'INFJ', 'INTJ']"
INFJ,"['INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFP', 'ISTP', 'INTJ', 'INFP', 'ISFP', 'INFP', 'ISFJ', 'INTJ', 'INFP', 'INFP', 'INTP', 'INFP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'ISTP', 'INTP', 'ISTP', 'ENFP', 'INFP', 'INTP']"
INTP,"['INFJ', 'INTP', 'INFJ', 'INFP', 'ENTP', 'INTP', 'ENFP', 'INFP', 'INTP', 'INFP', 'INFJ', 'ISTP', 'INFP', 'INFP', 'INTP', 'INFP', 'INFJ', 'INFP', 'ENFP', 'INFJ', 'INFJ', 'INTP', 'INFP', 'ENFP', 'INTP', 'INFP', 'ENFP', 'INFP', 'INFP', 'INFP', 'INFP', 'ENFP', 'INTJ', 'ISTJ', 'INTP', 'INTJ', 'ENTP', 'INFJ', 'ENFP', 'ISTP', 'INTP', 'INTP', 'ENTP']"
INFJ,"['INFJ', 'ISTP', 'ISTJ', 'INFP', 'INFP', 'ENTP', 'INTP', 'INTJ', 'INTJ', 'INTP', 'INFJ', 'INTP', 'INFP', 'ENTJ', 'INTP', 'INFJ', 'INTP', 'INTJ', 'INTP', 'INFP', 'ENFP', 'INFJ', 'INTP', 'INTP', 'INFJ', 'INFJ', 'INTP', 'INFJ', 'INFJ', 'INFP', 'INFJ', 'INFJ', 'INTJ', 'INTP', 'INTP', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INFP', 'ISFJ', 'ISTJ', 'INFJ', 'ISTP', 'INTP', 'ISTP', 'INFP', 'INFP', 'INFP']"
ENFJ,"['INFP', 'ENFP', 'ENTP', 'INTJ', 'INFJ', 'ISTP', 'ENFP', 'ENFP', 'ISTP', 'INFP', 'INTP', 'ENFP', 'INFP', 'INTP', 'ENFP', 'INFJ', 'ISFJ', 'INFJ', 'INFP', 'INFJ', 'ENFP', 'INFJ', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INTP', 'ENFP', 'ISTP', 'INFP', 'ISTP', 'INFP', 'INFJ', 'ENFP', 'INFJ', 'INFJ', 'ENTJ']"
INFJ,"['ISTP', 'ISTP', 'INFP', 'INFP', 'INFJ', 'INFJ', 'INFP', 'INFP', 'INTP', 'INTJ', 'INFJ', 'INFP', 'ENFP', 'INFP', 'INTJ', 'ENFP', 'ENTP', 'ENFP', 'ENFP', 'INTP', 'INFP', 'ENFP', 'INFJ', 'ENFP', 'ISFJ', 'INFP', 'INTJ', 'ISTP', 'ENFP', 'INTJ', 'INTJ', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'ISFP', 'ENFP', 'ENFP', 'INFJ', 'INFP', 'INFP', 'ENTP', 'INFP', 'INTP', 'ENFP', 'INTJ', 'ENTP']"
INTJ,"['INFJ', 'INFP', 'INFP', 'ENTJ', 'INFP', 'ISTP', 'ENTP', 'INFP', 'ENTP', 'INTJ', 'ENFP', 'INTP', 'ENFP', 'INTJ', 'INFJ', 'ENFP', 'INFP', 'INTJ', 'INFP', 'ISFP', 'INTJ', 'INFJ', 'INFP', 'INTP', 'ISTJ', 'INTJ', 'INFJ', 'INTJ', 'ENTP', 'INFJ', 'INTP', 'INFJ', 'INTP', 'INFP', 'ISTJ', 'ISFJ', 'ENFP', 'INFP', 'INFP', 'ISFJ', 'ISFJ', 'INFJ', 'ENFP', 'ISTP', 'INFP', 'INFJ', 'INTJ', 'ENFP', 'ISTP', 'INFJ']"
INTP,"['ENFP', 'ISTP', 'INTP', 'INTP', 'INFP', 'INTP', 'INTP', 'INTJ', 'ISTP', 'INTP', 'INTP', 'ENFP', 'INFP', 'INTP', 'INTP', 'INTP', 'INTP', 'INTJ', 'ENFP', 'INFP', 'INTJ', 'INTJ', 'INFJ', 'INFJ', 'ENFP', 'ENTP', 'INTP', 'INTP', 'INTJ', 'INTJ', 'ENFP', 'INTP', 'INFP', 'INTP', 'ISTP', 'INFP', 'ENFP', 'ENTP', 'ENTP', 'INFJ', 'INTP', 'INFJ', 'INTP', 'INFP', 'INTP', 'INTP']"
INTP,"['ISTP', 'ISTP', 'ENTP', 'ENFP', 'ISTP', 'INTJ', 'INTP', 'INFP', 'INTP', 'INTP', 'INTP', 'ISTP', 'INTP', 'INTP', 'INTJ', 'INTP', 'ENFP', 'ENFP', 'INTP', 'INTP', 'INTP', 'INFJ', 'INTP', 'INTP', 'INFP', 'ENFP', 'INTP', 'ENFP', 'INFP', 'INTP', 'INTP', 'INFJ', 'INTJ', 'ISFP', 'INFP', 'ENTP', 'ENFP', 'ENFP', 'INTP', 'INTP', 'INTP', 'ISTP', 'ENFP', 'INTP', 'INTP', 'INTP', 'INTP', 'INFP', 'INTJ']"
INFJ,"['INFP', 'INTJ', 'INFP', 'ENFP', 'INTP', 'ENTP', 'INFJ', 'INFJ', 'INFJ', 'INFJ', 'INTP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INFP', 'ENFP', 'INTP', 'ENFP', 'INTP', 'ENFP', 'INFP', 'INTP', 'INTP', 'INFP', 'INFJ', 'INFJ', 'INFJ', 'INFP', 'INFP', 'INFP', 'INFP', 'INFJ', 'INFP', 'INFJ', 'INFP', 'INTJ', 'INFP', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INFP']"
INFP,"['INTP', 'INFP', 'INFJ', 'INFP', 'INFP', 'INTJ', 'INTP', 'ENFP', 'INFP', 'ENFP', 'INFJ', 'ENTJ', 'INTJ', 'INFJ', 'ENFP', 'ENFP', 'INTJ', 'INFP', 'INTJ', 'INFP', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFP', 'ISFP', 'ENFP', 'INFP', 'INFP', 'INFJ', 'ISTJ', 'INFJ', 'ENFP', 'INFP', 'INTP', 'INFP', 'ENFP', 'INFP', 'ENFP', 'ENFP', 'ENFP', 'ENFP', 'INFP', 'INFJ', 'ENFP', 'INTP', 'INFP', 'INFP', 'ENTP']"
